Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1971-04-22,,,,,,,,,,3.79,
1971-04-23,,,,,,,,,,3.8,
1971-04-26,,,,,,,,,,3.82,
1971-04-27,,,,,,,,,,3.96,
1971-04-28,,3,,,,,,,,4.04,
1971-04-29,,,,,,,,,5.68,4.02,
1971-04-30,5.49,,5.99,4.75,5.76,,6.25,5.75,,3.93,3
1971-05-03,,,,,,,,,,3.84,
1971-05-04,,,,,,,,,,3.88,
1971-05-05,,3,,,,,,,,3.92,
1971-05-06,,,,,,,,,,3.82,
1971-05-07,,,,,,,,,,3.78,
1971-05-10,,,,,,,,,,3.83,
1971-05-11,,,,,,,,,,3.86,
1971-05-12,,3.15,,,,,,,,3.94,
1971-05-13,,,,,,,,,,4.06,
1971-05-14,,,,,,,,,,4.12,
1971-05-17,,,,,,,,,,4.3,
1971-05-18,,,,,,,,,,4.43,
1971-05-19,,3.04,,,,,,,,4.38,
1971-05-20,,,,,,,,,,4.37,
1971-05-21,,,,,,,,,,4.38,
1971-05-24,,,,,,,,,,4.41,
1971-05-25,,,,,,,,,,4.45,
1971-05-26,,3.02,,,,,,,,4.4,
1971-05-27,,,,,,,,,,4.35,
1971-05-28,,,,,,,,,,4.34,
1971-05-30,,,,,,,,,5.42,,
1971-05-31,5.49,,6.53,4.75,5.76,,6.25,5.65,,,3
1971-06-01,,,,,,,,,,4.36,
1971-06-02,,3.03,,,,,,,,4.26,
1971-06-03,,,,,,,,,,4.24,
1971-06-04,,,,,,,,,,4.32,
1971-06-07,,,,,,,,,,4.44,
1971-06-08,,,,,,,,,,4.56,
1971-06-09,,3.04,,,,,,,,4.6,
1971-06-10,,,,,,,,,,4.62,
1971-06-11,,,,,,,,,,4.71,
1971-06-14,,,,,,,,,,4.93,
1971-06-15,,,,,,,,,,5.02,
1971-06-16,,3.07,,,,,,,,4.97,
1971-06-17,,,,,,,,,,4.9,
1971-06-18,,,,,,,,,,4.93,
1971-06-21,,,,,,,,,,4.89,
1971-06-22,,,,,,,,,,4.96,
1971-06-23,,3.1,,,,,,,,4.82,
1971-06-24,,,,,,,,,,4.8,
1971-06-25,,,,,,,,,,4.88,
1971-06-28,,,,,,,,,,4.96,
1971-06-29,,,,,,,,,5.42,5.19,
1971-06-30,5.37,3.4,6.95,4.25,5.54,,6.25,5.61,,5.22,3
1971-07-01,,,,,,,,,,5.21,
1971-07-02,,,,,,,,,,5.36,
1971-07-06,,,,,,,,,,5.48,
1971-07-07,,3.5,,,,,,,,5.42,
1971-07-08,,,,,,,,,,5.41,
1971-07-09,,,,,,,,,,5.36,
1971-07-12,,,,,,,,,,5.32,
1971-07-13,,,,,,,,,,5.33,
1971-07-14,,3.55,,,,,,,,5.35,
1971-07-15,,,,,,,,,,5.39,
1971-07-16,,,,,,,,,,5.5,
1971-07-19,,,,,,,,,,5.53,
1971-07-20,,,,,,,,,,5.5,
1971-07-21,,3.56,,,,,,,,5.44,
1971-07-22,,,,,,,,,,5.34,
1971-07-23,,,,,,,,,,5.47,
1971-07-26,,,,,,,,,,5.46,
1971-07-27,,,,,,,,,,5.46,
1971-07-28,,3.53,,,,,,,,5.43,
1971-07-29,,,,,,,,,,5.34,
1971-07-30,,,,,,,,,5.42,5.31,
1971-07-31,5.37,,6.29,4.25,5.54,,6,5.57,,,3
1971-08-02,,,,,,,,,,5.24,
1971-08-03,,,,,,,,,,5.32,
1971-08-04,,3.73,,,,,,,,5.33,
1971-08-05,,,,,,,,,,5.3,
1971-08-06,,,,,,,,,,5.28,
1971-08-09,,,,,,,,,,5.32,
1971-08-10,,,,,,,,,,5.37,
1971-08-11,,3.92,,,,,,,,5.22,
1971-08-12,,,,,,,,,,5.21,
1971-08-13,,,,,,,,,,5.15,
1971-08-16,,,,,,,,,,4.83,
1971-08-17,,,,,,,,,,4.77,
1971-08-18,,4,,,,,,,,4.78,
1971-08-19,,,,,,,,,,4.54,
1971-08-20,,,,,,,,,,4.65,
1971-08-23,,,,,,,,,,4.75,
1971-08-24,,,,,,,,,,4.6,
1971-08-25,,3.75,,,,,,,,4.73,
1971-08-26,,,,,,,,,,4.68,
1971-08-27,,,,,,,,,,4.63,
1971-08-30,,,,,,,,,5.17,4.44,
1971-08-31,5.37,,6.41,4.25,6.38,,6,5.76,,4.44,3
1971-09-01,,3.85,,,,,,,,4.5,
1971-09-02,,,,,,,,,,4.53,
1971-09-03,,,,,,,,,,4.54,
1971-09-07,,,,,,,,,,4.58,
1971-09-08,,3.89,,,,,,,,4.6,
1971-09-09,,,,,,,,,,4.65,
1971-09-10,,,,,,,,,,4.68,
1971-09-13,,,,,,,,,,4.76,
1971-09-14,,,,,,,,,,4.87,
1971-09-15,,3.8,,,,,,,,4.85,
1971-09-16,,,,,,,,,,4.82,
1971-09-17,,,,,,,,,,4.72,
1971-09-20,,,,,,,,,,4.72,
1971-09-21,,,,,,,,,,4.78,
1971-09-22,,3.86,,,,,,,,4.77,
1971-09-23,,,,,,,,,,4.75,
1971-09-24,,,,,,,,,,4.73,
1971-09-27,,,,,,,,,,4.72,
1971-09-28,,,,,,,,,,4.67,
1971-09-29,,4.02,,,,,,,5.17,4.67,
1971-09-30,5.37,,6.41,3.75,6.04,,5.5,4.84,,4.6,3
1971-10-01,,,,,,,,,,4.55,
1971-10-04,,,,,,,,,,4.46,
1971-10-05,,,,,,,,,,4.57,
1971-10-06,,4,,,,,,,,4.54,
1971-10-07,,,,,,,,,,4.56,
1971-10-08,,,,,,,,,,4.53,
1971-10-12,,,,,,,,,,4.46,
1971-10-13,,4.02,,,,,,,,4.44,
1971-10-14,,,,,,,,,,4.43,
1971-10-15,,,,,,,,,,4.44,
1971-10-18,,,,,,,,,,4.45,
1971-10-19,,,,,,,,,,4.5,
1971-10-20,,3.92,,,,,,,,4.46,
1971-10-21,,,,,,,,,,4.48,
